5.1,3.8,1.5,0.3,Iris-setosa,0.033781774
4.8,3,1.4,0.3,Iris-setosa,0.040014525
5,3.4,1.6,0.4,Iris-setosa,0.042117099
5,3.5,1.6,0.6,Iris-setosa,0.045617378
7.2,3.2,6,1.8,Iris-virginica,0.113148219
6.5,3,5.2,2,Iris-virginica,0.11582139
4.4,3.2,1.3,0.2,Iris-setosa,0.14123027
5.1,3.7,1.5,0.4,Iris-setosa,0.159249151
6.4,2.7,5.3,1.9,Iris-virginica,0.182547168
7.6,3,6.6,2.1,Iris-virginica,0.183912259
4.9,2.5,4.5,1.7,Iris-virginica,0.215024437
4.7,3.2,1.6,0.2,Iris-setosa,0.247454908
6.2,2.8,4.8,1.8,Iris-virginica,0.266583278
7.3,2.9,6.3,1.8,Iris-virginica,0.297650542
6.8,3,5.5,2.1,Iris-virginica,0.305162688
5.5,3.5,1.3,0.2,Iris-setosa,0.318283023
5,3.6,1.4,0.2,Iris-setosa,0.322723486
5.7,3.8,1.7,0.3,Iris-setosa,0.336303264
5.2,3.4,1.4,0.2,Iris-setosa,0.356599445
5.1,3.8,1.6,0.2,Iris-setosa,0.358881266
6.3,3.3,6,2.5,Iris-virginica,0.400718589
7.7,2.8,6.7,2,Iris-virginica,0.432430563
6.5,3,5.5,1.8,Iris-virginica,0.439926341
4.8,3.1,1.6,0.2,Iris-setosa,0.46271183
5.6,2.8,4.9,2,Iris-virginica,0.499223036
6.3,3.4,5.6,2.4,Iris-virginica,0.517533485
6.8,3.2,5.9,2.3,Iris-virginica,0.53793859
5.3,3.7,1.5,0.2,Iris-setosa,0.596823666
4.7,3.2,1.3,0.2,Iris-setosa,0.606930397
5.8,2.7,5.1,1.9,Iris-virginica,0.612018745
6.1,3,4.9,1.8,Iris-virginica,0.623399707
5.1,3.8,1.9,0.4,Iris-setosa,0.637161532
5,3.4,1.5,0.2,Iris-setosa,0.6427529
4.6,3.4,1.4,0.3,Iris-setosa,0.686448187
5,3.2,1.2,0.2,Iris-setosa,0.692666522
5.4,3.4,1.5,0.4,Iris-setosa,0.692836536
5.8,2.8,5.1,2.4,Iris-virginica,0.718648503
6.5,3,5.8,2.2,Iris-virginica,0.721999075
5.8,4,1.2,0.2,Iris-setosa,0.724298506
5.4,3.9,1.3,0.4,Iris-setosa,0.732044334
6.5,3.2,5.1,2,Iris-virginica,0.738551785
7.7,3.8,6.7,2.2,Iris-virginica,0.749665438
5.1,3.5,1.4,0.2,Iris-setosa,0.760507971
4.8,3.4,1.6,0.2,Iris-setosa,0.771094276
5.4,3.4,1.7,0.2,Iris-setosa,0.77347242
5.2,4.1,1.5,0.1,Iris-setosa,0.793101195
6.7,3.3,5.7,2.5,Iris-virginica,0.827557018
5,3.5,1.3,0.3,Iris-setosa,0.841384301
6.4,3.2,5.3,2.3,Iris-virginica,0.885455397
7.2,3.6,6.1,2.5,Iris-virginica,0.895487042
5.1,3.5,1.4,0.3,Iris-setosa,0.914519749
6.4,3.1,5.5,1.8,Iris-virginica,0.923385458
4.4,2.9,1.4,0.2,Iris-setosa,0.92953905
5.2,3.5,1.5,0.2,Iris-setosa,0.941648667
5.7,2.5,5,2,Iris-virginica,0.946746894
4.8,3.4,1.9,0.2,Iris-setosa,0.963736723
5.4,3.7,1.5,0.2,Iris-setosa,0.965178047
4.6,3.6,1,0.2,Iris-setosa,0.972614313
6.9,3.1,5.1,2.3,Iris-virginica,0.991457861
6.7,2.5,5.8,1.8,Iris-virginica,0.996040046
